19:24:02 INFO  manager.ApplicationManager - Tests start on Firefox
19:24:09 INFO  manager.TestNGListener - Test started
19:24:09 INFO  tests.TestBase - Test testLoginPositive started
19:24:09 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:14 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:14 INFO  manager.TestNGListener - TesttestLoginPositive started
19:24:14 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Log in ']
19:24:14 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Log in '] is found
19:24:15 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='email']
19:24:15 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='email'] is found
19:24:15 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='password']
19:24:15 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='password'] is found
19:24:15 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
19:24:15 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
19:24:15 INFO  manager.TestNGListener - Test testLoginPositive successfully
19:24:15 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='button']
19:24:17 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='button'] is found
19:24:18 INFO  tests.TestBase - ================================
19:24:18 INFO  tests.TestBase - Test testLoginPositiveUser started
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:18 INFO  manager.TestNGListener - TesttestLoginPositiveUser started
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Log in ']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Log in '] is found
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='email']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='email'] is found
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='password']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='password'] is found
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
19:24:18 INFO  manager.TestNGListener - Test testLoginPositiveUser successfully
19:24:18 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='button']
19:24:18 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='button'] is found
19:24:19 INFO  tests.TestBase - ================================
19:24:19 INFO  tests.TestBase - Test testLoginPositiveUserData started
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:19 INFO  manager.TestNGListener - TesttestLoginPositiveUserData started
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Log in ']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Log in '] is found
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='email']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='email'] is found
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[@id='password']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[@id='password'] is found
19:24:19 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='submit']
19:24:19 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='submit'] is found
19:24:22 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //*[text()=' Logout ']
19:24:22 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //*[text()=' Logout '] is found
19:24:22 INFO  manager.TestNGListener - Test testLoginPositiveUserData successfully
19:24:22 INFO  manager.WebDriverListener - Start searching element---> By.xpath: //button[@type='button']
19:24:22 INFO  manager.WebDriverListener - Element with locator--->By.xpath: //button[@type='button'] is found
19:24:23 INFO  tests.TestBase - ================================
19:24:23 INFO  manager.TestNGListener - Test finished
